MythVerifCalls,MythMaxVerifTime,ThirtyTotalVerifTime,FoldTotalSynthTime,Test,ThirtyTime,SRPVerifCalls,MythTime,SRPMaxSynthTime,FoldSynthCalls,ThirtySynthCalls,CLPTotalVerifTime,FoldMaxSynthTime,MythTotalSynthTime,ThirtyMaxSynthTime,FoldTime,MythSynthCalls,SRPTime,SRPMaxVerifTime,SRPTotalSynthTime,ThirtyMaxVerifTime,MythTotalVerifTime,CLPTotalSynthTime,CLPTime,CLPSynthCalls,CLPVerifCalls,FoldTotalVerifTime,FoldVerifCalls,ThirtyTotalSynthTime,ThirtyVerifCalls,MythMaxSynthTime,FoldMaxVerifTime,SRPSynthCalls,CLPMaxVerifTime,CLPMaxSynthTime,SRPTotalVerifTime
timeout,timeout,incorrect,timeout,/coq/bst-::-set,incorrect,timeout,timeout,timeout,timeout,incorrect,timeout,timeout,timeout,incorrect,timeout,timeout,timeout,timeout,timeout,incorrect,timeout,timeout,timeout,timeout,timeout,timeout,timeout,incorrect,incorrect,timeout,timeout,timeout,timeout,timeout,timeout
3,20.951199531555176,error,0.0,/coq/bst-::-set+binfuncs,error,3,0.0857651948928833,0.0,0,error,25.299763679504395,0.0,0.0,error,0.08738031387329101,0,0.08816266059875488,20.83265781402588,0.0,error,25.588011741638184,0.0,0.09251642227172852,0,3,25.539255142211914,3,error,error,0.0,21.019649505615234,0,20.74604034423828,0.0,25.386857986450195
timeout,timeout,incorrect,timeout,/coq/rbtree-::-set,incorrect,timeout,timeout,timeout,timeout,incorrect,timeout,timeout,timeout,incorrect,timeout,timeout,timeout,timeout,timeout,incorrect,timeout,timeout,timeout,timeout,timeout,timeout,timeout,incorrect,incorrect,timeout,timeout,timeout,timeout,timeout,timeout
timeout,timeout,error,timeout,/coq/rbtree-::-set+binfuncs,error,timeout,timeout,timeout,timeout,error,timeout,timeout,timeout,error,timeout,timeout,timeout,timeout,timeout,error,timeout,timeout,timeout,timeout,timeout,timeout,timeout,error,error,timeout,timeout,timeout,timeout,timeout,timeout
16,4199.548029899597,incorrect,2850.0627517700195,/coq/sorted-list-::-heap,incorrect,incorrect,6.207422494888306,incorrect,14,incorrect,6042.027378082275,657.2443723678589,248.01747798919678,incorrect,14.190200781822204,5,incorrect,incorrect,incorrect,incorrect,5850.1296043396,256.71565532684326,6.401351094245911,5,21,10096.483516693115,45,incorrect,incorrect,134.4984769821167,6231.9767236709595,incorrect,4313.8466119766235,136.9713306427002,incorrect
16,4582.388162612915,error,1152.4871349334717,/coq/sorted-list-::-heap+binfuncs,error,incorrect,7.942336225509644,incorrect,10,error,7747.007417678833,202.8841257095337,317.32122898101807,error,15.885376667976379,5,incorrect,incorrect,incorrect,error,7512.172818183899,325.8901357650757,8.174439740180969,5,21,14080.702900886536,34,error,error,174.9399185180664,6385.765838623047,incorrect,4589.05622959137,178.0820608139038,incorrect
21,13229.445719718933,incorrect,350.32739639282227,/coq/sorted-list-::-set,incorrect,21,23.017915844917297,460.5171203613281,4,incorrect,23650.465154647827,121.1195707321167,723.3938932418823,incorrect,6.754781603813171,7,22.89822084903717,13002.891206741333,801.8874883651733,incorrect,22157.325506210327,732.05885887146,24.523388481140138,7,30,6079.796028137207,16,incorrect,incorrect,544.7900295257568,2691.712737083435,8,13258.655261993408,558.0174684524536,21961.50734424591
21,5706.996941566467,error,384.8655939102173,/coq/sorted-list-::-set+binfuncs,error,21,17.804947710037233,698.1601476669312,4,error,42793.916606903076,127.4669885635376,1199.4800090789795,error,11.090620970726013,8,17.479205560684203,5584.0821743011475,1189.1010522842407,error,16481.53395652771,1151.99134349823,44.08021321296692,8,42,10356.54194355011,16,error,error,714.7243976593018,5167.70498752594,8,5547.259092330933,673.8152027130127,16168.394827842712
20,10042.580199241638,0.0,17505.809330940247,/coq/unique-list-::-set,1.2043164730072022,20,13.25870852470398,79.65307235717773,9,0,12941.172909736633,16195.417308807373,302.99744606018066,0.0,34.2274523973465,6,13.396439719200135,10080.835747718811,373.17333221435547,0.0,12851.893472671509,294.3053960800171,13.335897779464721,6,25,16247.78299331665,26,0.0,0,81.49075508117676,13023.343706130981,8,10036.307978630066,80.3013563156128,12911.610722541809
8,11815.922212600708,error,15165.567326545715,/coq/unique-list-::-set+binfuncs,error,8,15.722621726989747,83.04903507232666,9,error,15558.176064491272,13350.575113296509,116.63026809692383,error,33.51086659431458,2,15.688777470588684,11810.348582267761,115.74273109436035,error,15532.411813735962,119.07718181610107,15.734932923316956,2,9,17842.492747306824,30,error,error,83.92715454101562,13024.318552017212,2,11799.749088287354,85.9266996383667,15515.143370628357
