FullP,Full,PAT,Myth,GAT,NDD,MythP,Test
566.8049387931824,[-1],992.9245228767395,168.50919008255005,[-1],[-1],[-1],/useful/list-@-max-heap
3.341707944869995,[-1],2.20864200592041,2.7372419834136963,2969.9839940071106,5.778213024139404,1.9007768630981445,/useful/cache-minimal
[-1],[-1],[-1],[-1],[-1],[-1],[-1],/useful/tree-@-heap
15.838726043701172,[-1],16.1546368598938,16.168314933776855,22.183125972747803,17.950366020202637,19.51348114013672,/useful/range
[-1],[-1],[-1],[-1],[-1],[-1],[-1],/useful/rbt-@-set
5.437315940856934,[-1],5.399193048477173,5.508447170257568,6.912244081497192,6.356539011001587,6.3093860149383545,/useful/nat-nat-option-@-range
2077.3476219177246,[-1],2470.4857528209686,[-1],[-1],[-1],[-1],/useful/binary-search-tree-@-set
[-1],[-1],91.61240196228027,79.89320087432861,3494.871731042862,109.39512705802917,[-1],/useful/unique-list-@-set
21.68991994857788,[-1],22.58369517326355,17.334885835647583,[-1],21.413612842559814,12.991929054260254,/useful/stutter-list
